Sun Jun 26 15:28:08 2016

Number of Points = 20622
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.269311	8.932908	2.471025	0.001039	0.499852
1.232249	9.058803	2.476029	0.001045	0.500240
1.332801	9.149341	2.481033	0.001027	0.500677
1.375880	9.242219	2.486038	0.001019	0.501051
1.439001	9.350181	2.491042	0.001007	0.501501
1.418082	9.462980	2.496047	0.001011	0.501863
1.310104	9.594155	2.501051	0.001031	0.502181
1.379075	9.649947	2.506055	0.001018	0.502458
1.415891	9.751359	2.511060	0.001012	0.502852
1.437396	9.858345	2.516064	0.001008	0.503246
1.327875	9.982946	2.521068	0.001028	0.503538
1.312168	10.088068	2.526073	0.001031	0.503879
1.382011	10.151850	2.531077	0.001018	0.504184
1.387872	10.259222	2.536081	0.001017	0.504558
1.419512	10.372043	2.541086	0.001011	0.504983
1.290993	10.491085	2.546090	0.001035	0.505233
1.320081	10.560537	2.551094	0.001029	0.505506
1.551452	10.619846	2.556099	0.000987	0.505992
1.591124	10.742493	2.561103	0.000979	0.506459
1.595974	10.867452	2.566107	0.000979	0.506890
1.466913	10.986526	2.571112	0.001002	0.507138
1.498411	11.072371	2.576116	0.000997	0.507469
1.588515	11.149602	2.581120	0.000980	0.507842
1.525470	11.269420	2.586125	0.000992	0.508172
1.565541	11.362800	2.591129	0.000984	0.508538
1.573323	11.474648	2.596133	0.000983	0.508927
1.594871	11.557531	2.601138	0.000979	0.509234
1.706353	11.640646	2.606142	0.000958	0.509652
1.661080	11.784599	2.611146	0.000967	0.510084
1.634952	11.876346	2.616151	0.000972	0.510363
1.635793	11.974020	2.621155	0.000971	0.510695
1.782013	12.039082	2.626160	0.000944	0.511092
1.694240	12.174790	2.631164	0.000961	0.511444
1.726020	12.268698	2.636168	0.000955	0.511799
1.848921	12.351992	2.641173	0.000932	0.512229
1.914189	12.434568	2.646177	0.000920	0.512586
1.749054	12.603512	2.651181	0.000951	0.512955
1.659003	12.712580	2.656186	0.000967	0.513214
1.638659	12.779864	2.661190	0.000971	0.513416
1.881386	12.823124	2.666194	0.000926	0.513854
1.698396	12.991045	2.671199	0.000960	0.514197
1.574455	13.103834	2.676203	0.000983	0.514427
1.640920	13.168944	2.681207	0.000971	0.514725
1.753393	13.254703	2.686212	0.000950	0.515148
1.860716	13.349737	2.691216	0.000930	0.515596
1.778152	13.474533	2.696220	0.000945	0.515914
1.729033	13.594836	2.701225	0.000954	0.516258
1.866092	13.646108	2.706229	0.000929	0.516594
1.889482	13.748867	2.711233	0.000925	0.516965
1.937783	13.863325	2.716238	0.000916	0.517405
1.908919	13.965948	2.721242	0.000921	0.517713
1.765218	14.108716	2.726246	0.000948	0.518017
1.890024	14.157907	2.731251	0.000925	0.518330
1.787361	14.291381	2.736255	0.000944	0.518652
1.914906	14.352496	2.741259	0.000920	0.519008
2.016648	14.443040	2.746264	0.000902	0.519430
1.907324	14.603225	2.751268	0.000922	0.519832
1.958860	14.666640	2.756273	0.000912	0.520104
1.855964	14.799925	2.761277	0.000931	0.520424
2.011220	14.850816	2.766281	0.000903	0.520778
2.013833	14.965578	2.771286	0.000902	0.521161
1.904469	15.102537	2.776290	0.000922	0.521485
1.902614	15.184932	2.781294	0.000923	0.521756
2.042668	15.239031	2.786299	0.000897	0.522101
2.011885	15.383091	2.791303	0.000902	0.522541
1.999519	15.477831	2.796307	0.000905	0.522839
2.005463	15.568839	2.801312	0.000904	0.523146
2.017776	15.668977	2.806316	0.000901	0.523491
2.019861	15.768677	2.811320	0.000901	0.523823
1.993706	15.890316	2.816325	0.000906	0.524193
2.043902	15.976918	2.821329	0.000897	0.524537
2.033008	16.077753	2.826333	0.000899	0.524856
2.003828	16.183053	2.831338	0.000904	0.525168
2.144441	16.243996	2.836342	0.000878	0.525534
2.229359	16.368406	2.841346	0.000863	0.526043
2.174865	16.478293	2.846351	0.000873	0.526339
2.068455	16.603013	2.851355	0.000892	0.526623
2.276992	16.652840	2.856359	0.000854	0.527032
2.294305	16.769286	2.861364	0.000851	0.527433
2.169646	16.894194	2.866368	0.000874	0.527696
2.334555	16.947653	2.871372	0.000843	0.528064
2.249761	17.089704	2.876377	0.000859	0.528429
2.242048	17.184295	2.881381	0.000860	0.528729
2.295044	17.269829	2.886386	0.000851	0.529070
2.257516	17.398399	2.891390	0.000857	0.529446
2.308730	17.460604	2.896394	0.000848	0.529709
2.466023	17.542183	2.901399	0.000819	0.530158
2.248837	17.738225	2.906403	0.000859	0.530543
2.286727	17.778707	2.911407	0.000852	0.530719
2.128287	17.908686	2.916412	0.000881	0.530957
2.069049	18.004256	2.921416	0.000892	0.531199
2.138502	18.074742	2.926420	0.000879	0.531509
2.284962	18.164762	2.931425	0.000852	0.531972
2.097378	18.300918	2.936429	0.000887	0.532195
2.154818	18.383915	2.941433	0.000876	0.532531
2.206829	18.452858	2.946438	0.000867	0.532815
2.393473	18.540597	2.951442	0.000833	0.533316
2.320339	18.692255	2.956446	0.000846	0.533722
2.176536	18.815991	2.961451	0.000872	0.533955
2.270605	18.871305	2.966455	0.000855	0.534243
2.371563	18.964793	2.971459	0.000837	0.534662
2.216055	19.111068	2.976464	0.000865	0.534955
2.256448	19.188301	2.981468	0.000858	0.535251
2.306435	19.273208	2.986472	0.000849	0.535582
2.221364	19.401475	2.991477	0.000864	0.535897
2.325353	19.459934	2.996481	0.000845	0.536206
2.392603	19.580250	3.001486	0.000833	0.536671
2.433421	19.677345	3.006490	0.000825	0.537030
2.468137	19.762096	3.011494	0.000819	0.537343
2.393255	19.891255	3.016499	0.000833	0.537671
2.273120	20.010871	3.021503	0.000855	0.537917
2.337850	20.076469	3.026507	0.000843	0.538202
2.555325	20.133084	3.031512	0.000803	0.538634
2.375068	20.329491	3.036516	0.000836	0.539056
2.402443	20.385315	3.041520	0.000831	0.539266
2.373173	20.494801	3.046525	0.000836	0.539583
2.530394	20.558180	3.051529	0.000808	0.539966
2.395333	20.701318	3.056533	0.000832	0.540269
2.545220	20.759017	3.061538	0.000805	0.540625
2.448262	20.918838	3.066542	0.000823	0.541024
2.436903	20.993626	3.071546	0.000825	0.541250
2.541704	21.063527	3.076551	0.000805	0.541593
2.538526	21.184622	3.081555	0.000806	0.541975
2.517197	21.301547	3.086559	0.000810	0.542323
2.534344	21.381118	3.091564	0.000807	0.542596
2.549739	21.476377	3.096568	0.000804	0.542917
2.533546	21.586961	3.101572	0.000807	0.543250
2.511407	21.700666	3.106577	0.000811	0.543586
2.609027	21.767730	3.111581	0.000793	0.543910
2.674452	21.865180	3.116585	0.000781	0.544294
2.478670	22.027578	3.121590	0.000817	0.544586
2.571463	22.089624	3.126594	0.000800	0.544888
2.630479	22.169802	3.131599	0.000789	0.545209
2.680190	22.283386	3.136603	0.000780	0.545626
2.675566	22.403604	3.141607	0.000781	0.546001
2.576457	22.502206	3.146612	0.000799	0.546200
2.562515	22.596769	3.151616	0.000802	0.546483
2.708855	22.677372	3.156620	0.000775	0.546903
